,sentence,prediction,gold
920,"[CLS] and on april 3 his chief aide in najaf was suddenly arrested along with 13 other members of his organization, and the coalition forces are put into violent conflict with his organization, which leaves 7 us soldiers dead. [SEP] are [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
921,"[CLS] and on april 3 his chief aide in najaf was suddenly arrested along with 13 other members of his organization, and the coalition forces are put into violent conflict with his organization, which leaves 7 us soldiers dead. [SEP] put [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', '_', 'C-V', 'C-V', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', '_', 'V', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
922,"[CLS] and on april 3 his chief aide in najaf was suddenly arrested along with 13 other members of his organization, and the coalition forces are put into violent conflict with his organization, which leaves 7 us soldiers dead. [SEP] conflict [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-ARGM-CXN', '_', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-MNR', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
923,"[CLS] and on april 3 his chief aide in najaf was suddenly arrested along with 13 other members of his organization, and the coalition forces are put into violent conflict with his organization, which leaves 7 us soldiers dead. [SEP] leaves [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', 'C-V', 'ARGM-CXN', '_', 'C-V', 'C-V', 'ARGM-LVB', 'ARGM-LVB', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', '_', '_', '_', '_', 'R-ARG0', 'V', '_', '_', 'ARG1', 'ARG1', '_', '_']"
924,[CLS] the army is unlikely to forgive or forget ; but who provoked it and why? [SEP] is [SEP],"['C-V', 'ARGM-LVB', '_', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'ARG1', 'V', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
925,[CLS] the army is unlikely to forgive or forget ; but who provoked it and why? [SEP] unlikely [SEP],"['C-V', 'ARGM-LVB', 'C-V', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'ARG1', '_', 'V', '_', 'C-ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
926,[CLS] the army is unlikely to forgive or forget ; but who provoked it and why? [SEP] forgive [SEP],"['C-V', 'ARGM-TMP', 'C-V', 'C-V', 'C-V', '_', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'ARG0', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
927,[CLS] the army is unlikely to forgive or forget ; but who provoked it and why? [SEP] forget [SEP],"['C-V', 'ARGM-TMP', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'ARG0', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
928,[CLS] the army is unlikely to forgive or forget ; but who provoked it and why? [SEP] provoked [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-CXN', '_', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', 'ARG1', '_', '_', '_', '_']"
929,[CLS] i'm not even in iraq and i could have predicted to you the consequences of doing what the cpa has been doing. [SEP]'m [SEP],"['ARGM-LVB', '_', '_', 'ARG3', 'C-V', 'C-V', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG1', 'V', 'V', 'ARGM-NEG', 'ARGM-ADV', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
930,[CLS] i'm not even in iraq and i could have predicted to you the consequences of doing what the cpa has been doing. [SEP] have [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
931,[CLS] i'm not even in iraq and i could have predicted to you the consequences of doing what the cpa has been doing. [SEP] predicted [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', 'ARGM-REC', 'C-V', '_', 'C-V', 'R-ARGM-MNR', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'ARGM-MOD', '_', 'V', '_', 'ARGM-GOL', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
932,[CLS] i'm not even in iraq and i could have predicted to you the consequences of doing what the cpa has been doing. [SEP] doing [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'ARGM-LVB', 'C-V', 'C-V', 'ARGM-TMP', 'C-V', 'C-V', '_', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_']"
933,[CLS] i'm not even in iraq and i could have predicted to you the consequences of doing what the cpa has been doing. [SEP] has [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_']"
934,[CLS] i'm not even in iraq and i could have predicted to you the consequences of doing what the cpa has been doing. [SEP] been [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_']"
935,[CLS] i'm not even in iraq and i could have predicted to you the consequences of doing what the cpa has been doing. [SEP] doing [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'ARGM-LVB', 'C-V', 'C-V', 'ARGM-TMP', 'C-V', 'C-V', '_', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', '_', 'ARG0', 'ARG0', '_', '_', 'V', '_', '_']"
936,[CLS] anthony shadid of the washington post reveals that the warrants for the arrests had been issued months be for. [SEP] reveals [SEP],"['ARGM-TMP', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG0', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_']"
937,[CLS] anthony shadid of the washington post reveals that the warrants for the arrests had been issued months be for. [SEP] arrests [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_']"
938,[CLS] anthony shadid of the washington post reveals that the warrants for the arrests had been issued months be for. [SEP] had [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_']"
939,[CLS] anthony shadid of the washington post reveals that the warrants for the arrests had been issued months be for. [SEP] been [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_']"
940,[CLS] anthony shadid of the washington post reveals that the warrants for the arrests had been issued months be for. [SEP] issued [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', 'V', '_', 'ARGM-TMP', '_', '_', '_']"
941,[CLS] why were they suddenly acted on saturday? [SEP] were [SEP],"['C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'V', '_', '_', '_', '_', '_', '_', '_']"
942,[CLS] why were they suddenly acted on saturday? [SEP] acted [SEP],"['C-V', 'C-V', 'ARGM-LVB', 'C-ARG1', '_', 'C-V', 'C-ARG1', 'C-V', 'C-V']","['ARGM-CAU', '_', 'ARG0', 'ARGM-ADV', 'V', 'ARG1', 'ARGM-TMP', '_', '_']"
943,[CLS] i am not going unless lisa promises to get all wasted and boob out. [SEP] am [SEP],"['C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
944,[CLS] i am not going unless lisa promises to get all wasted and boob out. [SEP] going [SEP],"['ARGM-TMP', 'C-V', 'ARG3', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG0', '_', 'ARGM-NEG', 'V', '_', '_', 'ARGM-ADV', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
945,[CLS] i am not going unless lisa promises to get all wasted and boob out. [SEP] promises [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', 'ARG0', 'V', '_', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_']"
946,[CLS] i am not going unless lisa promises to get all wasted and boob out. [SEP] get [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', 'ARG1', '_', '_', 'V', '_', 'ARG2', '_', '_', '_', '_', '_', '_']"
947,[CLS] i am not going unless lisa promises to get all wasted and boob out. [SEP] wasted [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', 'ARG1', '_', '_', '_', 'ARGM-ADV', 'V', '_', '_', '_', '_', '_', '_']"
948,[CLS] i am not going unless lisa promises to get all wasted and boob out. [SEP] boob [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', '_', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', 'ARG0', '_', '_', '_', '_', '_', '_', 'V', 'V', '_', '_', '_', '_']"
949,"[CLS] i definitely could use a drink, actually a couple would probably do better. [SEP] use [SEP]","['ARGM-TMP', 'R-ARGM-COM', 'ARGM-REC', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG0', 'ARGM-ADV', 'ARGM-MOD', 'V', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
950,"[CLS] i definitely could use a drink, actually a couple would probably do better. [SEP] do [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'R-ARGM-COM', 'C-V', 'ARGM-TMP', 'ARGM-REC', 'R-ARGM-COM', '_', 'ARGM-LVB', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', 'ARGM-ADV', '_', 'ARG3', 'ARGM-MOD', 'ARGM-ADV', 'V', 'ARGM-MNR', '_', '_']"
951,"[CLS] bryan, you're in, right? [SEP]'re [SEP]","['C-V', 'C-V', 'ARGM-LVB', '_', '_', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARGM-DIS', '_', 'ARG1', 'V', 'V', 'ARG2', '_', 'ARGM-DIS', '_', '_', '_']"
952,[CLS] anybody up for happy hour after work? [SEP] work [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', 'V', '_', '_']"
953,[CLS] i was thinking kenneally's at around 5. [SEP] was [SEP],"['C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
954,[CLS] i was thinking kenneally's at around 5. [SEP] thinking [SEP],"['ARGM-TMP', 'C-V', '_', 'ARGM-LVB', 'ARGM-LVB', 'ARGM-LVB', 'ARGM-LVB', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG0', '_', 'V', 'ARG1', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_']"
955,[CLS] let me know [SEP] let [SEP],"['_', 'ARGM-LVB', 'ARGM-LVB', 'C-V']","['V', 'ARG1', 'ARG1', '_']"
956,[CLS] let me know [SEP] know [SEP],"['C-V', 'ARGM-TMP', '_', 'C-V']","['_', 'ARG0', 'V', '_']"
957,[CLS] you don't know what that means? [SEP] do [SEP],"['C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
958,[CLS] you don't know what that means? [SEP] know [SEP],"['ARGM-TMP', 'C-V', 'ARG3', 'ARG3', 'ARG3', '_', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V']","['ARG0', '_', 'ARGM-NEG', 'ARGM-NEG', 'ARGM-NEG', 'V', '_', '_', 'ARG1', '_', '_']"
959,[CLS] you don't know what that means? [SEP] means [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'ARGM-LVB', '_', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', 'ARG2', 'ARG1', 'V', '_', '_']"
960,[CLS] where did you grow up? [SEP] did [SEP],"['C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'V', '_', '_', '_', '_', '_']"
961,[CLS] where did you grow up? [SEP] grow [SEP],"['R-ARGM-MNR', 'C-V', 'ARGM-LVB', '_', 'C-V', 'C-V', 'C-V']","['ARGM-LOC', '_', 'ARG1', 'V', '_', '_', '_']"
962,[CLS] boob out? [SEP] boob [SEP],"['_', '_', 'C-V', 'C-V', 'C-V', 'C-V']","['V', 'V', '_', '_', '_', '_']"
963,[CLS] should i be embarrassed that i haven't the slightest idea what that means? [SEP] be [SEP],"['C-V', 'C-V', '_', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARGM-MOD', 'ARG1', 'V', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
964,[CLS] should i be embarrassed that i haven't the slightest idea what that means? [SEP] embarrassed [SEP],"['ARGM-REC', 'ARGM-LVB', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARGM-MOD', 'ARG1', '_', 'V', '_', '_', 'ARG0', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
965,[CLS] should i be embarrassed that i haven't the slightest idea what that means? [SEP] have [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', 'ARG0', 'V', 'ARGM-NEG', 'ARGM-NEG', 'ARGM-NEG', '_', '_', 'ARG1', '_', '_', '_', '_', '_']"
966,[CLS] should i be embarrassed that i haven't the slightest idea what that means? [SEP] means [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'ARGM-LVB', '_', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG2', 'ARG1', 'V', '_', '_']"
967,[CLS] i am going out tonight to get wasted if anyone is interested. [SEP] am [SEP],"['C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
968,[CLS] i am going out tonight to get wasted if anyone is interested. [SEP] going [SEP],"['ARGM-LVB', 'C-V', '_', 'C-V', 'C-ARG1', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG0', '_', 'V', '_', 'ARGM-TMP', '_', '_', 'ARGM-PRP', '_', '_', '_', 'ARGM-ADV', '_', '_']"
969,[CLS] i am going out tonight to get wasted if anyone is interested. [SEP] get [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'R-ARGM-COM', 'C-V', 'C-V']","['ARG1', '_', '_', '_', '_', '_', 'V', 'ARG2', '_', '_', '_', '_', '_', '_']"
970,[CLS] i am going out tonight to get wasted if anyone is interested. [SEP] wasted [SEP],"['ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'R-ARGM-COM', 'C-V', 'C-V']","['ARG1', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_']"
971,[CLS] i am going out tonight to get wasted if anyone is interested. [SEP] is [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', '_', 'R-ARGM-MNR', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', 'V', 'ARG2', '_', '_']"
972,[CLS] i am going out tonight to get wasted if anyone is interested. [SEP] interested [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', '_', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', '_', 'V', '_', '_']"
973,[CLS] jill allen finishes her cpa today and she and her friends are going to party. [SEP] finishes [SEP],"['ARGM-TMP', 'ARGM-TMP', '_', 'C-V', 'ARGM-LVB', 'ARGM-LVB', 'C-ARG1', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG0', '_', 'V', '_', 'ARG1', 'ARG1', 'ARGM-TMP', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
974,[CLS] jill allen finishes her cpa today and she and her friends are going to party. [SEP] are [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_']"
975,[CLS] jill allen finishes her cpa today and she and her friends are going to party. [SEP] going [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'R-ARGM-MNR', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_']"
976,[CLS] jill allen finishes her cpa today and she and her friends are going to party. [SEP] party [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', '_', '_', '_', '_', '_', '_', 'V', '_', '_']"
977,[CLS] max and jen are looking for you. [SEP] are [SEP],"['C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', 'V', '_', '_', '_', '_', '_']"
978,[CLS] max and jen are looking for you. [SEP] looking [SEP],"['ARGM-TMP', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V']","['ARG0', '_', '_', '_', 'V', '_', 'ARG1', '_', '_']"
979,[CLS] call them at 303 - 832 - 8160. [SEP] call [SEP],"['_', 'ARGM-LVB', 'C-V', 'C-ARG1', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['V', 'ARG1', '_', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', '_', '_']"
980,[CLS] they haven't heard from you in a while. [SEP] have [SEP],"['C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
981,[CLS] they haven't heard from you in a while. [SEP] heard [SEP],"['ARGM-TMP', 'C-V', 'ARG3', 'ARG3', 'ARG3', '_', 'C-V', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-ARG1', 'C-V', 'C-V']","['ARG0', '_', 'ARGM-NEG', 'ARGM-NEG', 'ARGM-NEG', 'V', '_', 'ARG2', '_', '_', 'ARGM-TMP', '_', '_']"
